Resource,SubscriptionName,ResourceGroup,CurrentCostUSD,LastCostUSD,DeltaUSD,Remark
aks-agentpool-124070aks-agentpool-1240702os__1_e26676ec8d1643a7a79695c0fc57cd42,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,19.285836,12.401759,6.884077,UP
aks-agentpool-124070aks-agentpool-1240702os__1_fa5179932c094aa09d6a6fecba69ccab,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,19.285836,12.401759,6.884077,UP
disk10012-stage-market-soft01,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,6.826185,0.0,6.826185,NEW
pe01-sa29-prod-latamcleanstore,KioSoft Globalazure  Subscription,retail,0.0,6.807463,-6.807463,REMOVED
pip146-app-gt-prod-csc,KioSoft Globalazure  Subscription,rg52-prod-csc,199.870048,206.534087,-6.66404,DOWN
pip147-loadbalance07-prod-csc-universalweb,KioSoft Globalazure  Subscription,rg52-prod-csc,199.870048,206.534087,-6.66404,DOWN
multiwbdisks351,KioSoft Globalazure  Subscription,kiosoft-test,150.699357,157.317283,-6.617926,DOWN
mysql17-prod-kiocentraluk,KioSoft Globalazure  Subscription,rg60-prod-kiocentraluk,0.0,6.40869,-6.40869,REMOVED
vm20019-prod-latamcleanstore-web02,KioSoft Globalazure  Subscription,rg20008-prod-latamcleanstore,17.260345,23.448266,-6.187921,DOWN
azurebackup_vm142-prod-latamcleanstore-web02_460229180565395657,KioSoft Globalazure  Subscription,azurebackuprg_southcentralus_1,0.0,6.031647,-6.031647,REMOVED
azurebackup_vm122-prod-latamcleanstore-web01_460229179893883574,KioSoft Globalazure  Subscription,azurebackuprg_southcentralus_1,0.0,6.023827,-6.023827,REMOVED
azurebackup_vm143-prod-latamcleanstore-web03_460229180905166998,KioSoft Globalazure  Subscription,azurebackuprg_southcentralus_1,0.0,6.011801,-6.011801,REMOVED
