Resource,SubscriptionName,ResourceGroup,CurrentCostUSD,LastCostUSD,DeltaUSD,Remark
azurebackup_vm104-prod-csc-retail-web03_929623889200107741,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,8.868526,8.868526,0,SAME
azurebackup_vm105-prod-csc-retail-web04_929623888639561588,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,8.908415,8.908415,0,SAME
azurebackup_vm106-prod-csc-retail-reportserver01_929623888529284737,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.607659,6.607659,0,SAME
azurebackup_vm107-prod-csc-retail-reportserver02_929623888805026017,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.494381,6.494381,0,SAME
azurebackup_vm108-prod-csc-retail-reportserver03_929623889063692052,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.599228,6.599228,0,SAME
azurebackup_vm109-prod-csc-retail-reportserver04_929623888800437795,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.286548,6.286548,0,SAME
azurebackup_vm120-prod-cleanstore-web08_929623888924411714,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,10.838844,10.838844,0,SAME
azurebackup_vm121-prod-amusement-web01_929623888173040079,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,7.088345,7.088345,0,SAME
azurebackup_vm123-prod-cleanstore-web09_929623887529406073,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,10.212228,10.212228,0,SAME
azurebackup_vm126-automated-testing-platform_929623889014949279,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,3.459066,3.459066,0,SAME
azurebackup_vm127-prod-tcn_929623888721242357,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.392893,6.392893,0,SAME
azurebackup_vm128-prod-csc-retail-reportserver05_929623889277042919,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.587394,6.587394,0,SAME
azurebackup_vm129-prod-csc-retail-reportserver06_929623887199236512,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.589247,6.589247,0,SAME
azurebackup_vm130-prod-csc-retail-reportserver07_929623888124425786,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.366685,6.366685,0,SAME
azurebackup_vm131-prod-csc-retail-reportserver08_929623887602792145,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.459371,6.459371,0,SAME
azurebackup_vm133-prod-csc-tms_929623888589302131,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,1.151958,1.151958,0,SAME
azurebackup_vm134-prod-amusement-web02_929623887426034662,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.585251,6.585251,0,SAME
azurebackup_vm135-prod-amusement-web03_929623888410428142,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.577466,6.577466,0,SAME
azurebackup_vm136-prod-wazan-web01_929623887255601481,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.586179,0.586179,0,SAME
azurebackup_vm138-prod-cleanstore-web10_929623887690656174,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,10.246604,10.246604,0,SAME
azurebackup_vm139-prod-universal-web03_929623889213854684,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,8.853056,8.853056,0,SAME
azurebackup_vm140-prod-devops-ai_929623887696801515,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,1.66624,1.66624,0,SAME
azurebackup_vm147-prod-kiocentral-tool_929623887329958306,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,1.252694,1.252694,0,SAME
azurebackup_vm156-prod-operationcenter_929623887286655021,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,2.147754,2.147754,0,SAME
azurebackup_vm157-prod-operation-management_929623887344118525,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,1.464075,1.464075,0,SAME
azurebackup_vm158-prod-kiocentraluk-web01_351845567506023,KioSoft Globalazure  Subscription,azurebackuprg_uksouth_1,1.8669,1.8669,0,SAME
azurebackup_vm20003-prod-seatunnel01_929623887342248016,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,27.970929,27.970929,0,SAME
azurebackup_vm20004-prod-jenkins01_929623888926113461,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,13.290338,13.290338,0,SAME
azurebackup_vm20005-prod-jumpserver_5414223954462998027,KioSoft Globalazure  Subscription,azurebackuprg_eastus2_1,5.108967,5.108967,0,SAME
azurebackup_vm20006-prod-backupserver_929623888652037688,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.885,0.885,0,SAME
azurebackup_vm20007-prod-elk01_929623888800552841,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,7.615236,7.615236,0,SAME
azurebackup_vm20008-prod-csc-elk01_929623888257432526,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,14.80386,14.80386,0,SAME
azurebackup_vm20009-prod-internal-web01_929623888850019341,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,2.530174,2.530174,0,SAME
azurebackup_vm20010-prod-internal-web02_929623888179221498,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,2.514368,2.514368,0,SAME
azurebackup_vm20011-prod-pometheus-backup_929623887343452660,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.523278,0.523278,0,SAME
azurebackup_vm20011-prod-prometheus_929623887370555182,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.90708,6.90708,0,SAME
azurebackup_vm20012-prod-kiopos-web01_929623887747725848,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,1.831572,1.831572,0,SAME
azurebackup_vm20013-prod-kiopos-soft01_929623887472167545,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,1.402638,1.402638,0,SAME
azurebackup_vm20014-prod-integration-web01_35184734496430,KioSoft Globalazure  Subscription,azurebackuprg_centralus_1,2.324353,2.324353,0,SAME
azurebackup_vm20016-prod-doris01_929623887154713044,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,161.629644,161.629644,0,SAME
azurebackup_vm20017-prod-elk01_929623888271918898,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,23.837254,23.837254,0,SAME
azurebackup_vm20018-prod-latamcleanstore-web01_460229181087139705,KioSoft Globalazure  Subscription,azurebackuprg_southcentralus_1,1.68159,1.68159,0,SAME
azurebackup_vm20019-prod-latamcleanstore-web02_460229179169971872,KioSoft Globalazure  Subscription,azurebackuprg_southcentralus_1,1.411,1.411,0,SAME
azurebackup_vm20020-prod-latamcleanstore-web03_460229180512933154,KioSoft Globalazure  Subscription,azurebackuprg_southcentralus_1,1.386139,1.386139,0,SAME
azurebackup_vm20021-prod-csc-elk01_929623887382271519,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,22.766899,22.766899,0,SAME
azurebackup_vm20022-prod-sut-server02_5414223954553080845,KioSoft Globalazure  Subscription,azurebackuprg_eastus2_1,0.046075,0.046075,0,SAME
