ResourceGroup,ResourceGroupId,SubscriptionName,SubscriptionId,Resource,ResourceId,ResourceType,ResourceLocation,Tags,Cost,CostUSD,Currency
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm129prodcscretailreportserver-osdisk-20240229-005305,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm129prodcscretailreportserver-osdisk-20240229-005305,Disk,US East,"[""\""rsvaultbackup\"":\""1e16a5d7-d2e9-44d4-b063-8c5bcc8610d3\""""]",19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm130prodcscretailreportserver-osdisk-20240229-005759,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm130prodcscretailreportserver-osdisk-20240229-005759,Disk,US East,"[""\""rsvaultbackup\"":\""cd5a558e-2cc1-47d8-bba0-3b95ed5e0c46\""""]",19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm131prodcscretailreportserver-osdisk-20240229-010350,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm131prodcscretailreportserver-osdisk-20240229-010350,Disk,US East,"[""\""rsvaultbackup\"":\""44b0cfb8-df4c-4bb1-8820-9fc3217ca2df\""""]",19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm97-prod-csc-universal-web01-disk,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm97-prod-csc-universal-web01-disk,Disk,US East,[],19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm98-prod-csc-universal-web02-disk,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm98-prod-csc-universal-web02-disk,Disk,US East,[],19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm99-prod-csc-universal-web03-disk,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm99-prod-csc-universal-web03-disk,Disk,US East,[],19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm102-prod-csc-retail-web01,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm102-prod-csc-retail-web01,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""publisher\"":\""openlogic\"""",""\""product\"":\""prod - csc\""""]",18.90770879,18.90770879,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm104-prod-csc-retail-web03,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm104-prod-csc-retail-web03,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""product\"":\""prod - csc\"""",""\""publisher\"":\""openlogic\""""]",18.81247253,18.81247253,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm105-prod-csc-retail-web04,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm105-prod-csc-retail-web04,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""publisher\"":\""openlogic\"""",""\""product\"":\""prod - csc\""""]",18.79455427,18.79455427,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm103-prod-csc-retail-web02,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm103-prod-csc-retail-web02,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""publisher\"":\""openlogic\"""",""\""product\"":\""prod - csc\""""]",18.75395535,18.75395535,USD
